IR1,IR2,x
0,0,329
0,0,228
75,0,232
390,0,244
360,0,400
450,0,161
405,0,162
0,0,162
0,0,162
60,0,163
0,0,163
0,0,162
0,0,162
30,0,162
0,0,162
0,0,162
0,0,162
30,0,164
30,0,162
0,0,206
0,465,88
240,450,93
210,1110,97
225,390,130
495,180,284
630,2595,95
915,750,142
870,1650,142
405,570,135
375,1575,108
570,675,94
960,840,93
225,585,67
225,360,109
345,1635,44
375,480,81
300,1605,73
540,330,63
360,495,54
705,675,43
375,0,48
510,0,48
330,0,56
330,0,7
585,0,126
270,0,6
405,0,226
690,0,8
390,0,5
885,0,5
600,0,57
960,0,17
315,0,128
390,0,105
405,0,104
345,330,108
345,450,170
270,405,105
405,1080,97
435,510,81
330,1200,71
510,420,62
555,1170,51
525,720,37
420,1710,24
480,1425,12
1140,450,5
1050,600,30
510,795,400
375,390,400
435,330,400
615,1665,400
435,1695,400
435,180,400
705,1710,256
525,1170,400
390,390,400
330,450,222
705,1590,27
600,480,18
600,375,79
975,840,400
990,1110,400
780,960,49
570,585,99
690,930,92
135,270,89
210,1365,123
510,420,400
390,510,400
510,990,400
600,570,400
270,810,61
525,930,189
390,420,90
315,1800,173
0,360,212
0,0,400
0,900,134
0,780,284
0,540,113
390,555,114
855,1860,236
720,900,268
615,555,188
1125,900,180
495,540,170
960,1635,222
420,600,166
660,1080,132
885,675,185
525,300,179
780,675,175
840,600,400
345,570,400
1380,900,400
0,705,281
0,600,114
60,120,85
285,960,69
465,690,57
840,1320,48
465,720,148
810,960,141
480,960,61
480,765,113
750,1260,105
450,720,93
915,1500,81
795,630,38
615,750,73
0,1560,37
0,390,31
30,330,400
0,960,117
525,240,110
405,600,17
825,1365,34
450,750,129
840,870,113
435,1140,72
240,285,62
0,300,400
0,960,19
0,600,262
420,255,147
330,435,209
405,1110,210
495,510,114
495,510,113
660,1695,400
390,1200,206
570,780,143
615,1020,130
420,510,112
495,990,92
720,450,78
570,1740,68
285,75,121
180,360,117
240,735,73
600,300,87
435,675,39
